Grady - max col or row,(10000, 10000),0.6,9.41693,9.41183,0.03526
Grady - all zeros,(10000, 10000),0.6,56.99241,57.05730,0.32892
Grady - all ones,(10000, 10000),0.6,7.95461,7.95836,0.01623
Grady - total fill percentage,(10000, 10000),0.6,9.53295,9.52748,0.04515
Curveball,(10000, 10000),0.6,276.73909,276.62735,0.39917
Cupy,(10000, 10000),0.6,8.74922,8.72437,0.07537
Grady - fill and shuffle,(10000, 10000),0.7,7.75832,7.75702,0.01846
Grady - min col or row,(10000, 10000),0.7,10.33797,10.32330,0.17230
Grady - max col or row,(10000, 10000),0.7,9.18054,9.14463,0.10095
Grady - all zeros,(10000, 10000),0.7,64.21538,64.32807,0.89791
Grady - all ones,(10000, 10000),0.7,7.61612,7.62283,0.02473
Grady - total fill percentage,(10000, 10000),0.7,9.28012,9.24177,0.09847
Curveball,(10000, 10000),0.7,266.23938,266.20650,0.41575
Cupy,(10000, 10000),0.7,8.48628,8.47832,0.06934
Grady - fill and shuffle,(10000, 10000),0.8,7.34445,7.34599,0.02875
Grady - min col or row,(10000, 10000),0.8,9.88557,9.87186,0.06522
